entry,eLink,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Calib,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
3,3,0,0,10498048,0,11544576,0,0,0,0,0,0,0,0,58757120,0,0,0,0,0,0,3158016,1110016,62921728,0,0,20480,0,0,19998720,0,41952256,0,22528,0,0,0,0
3,4,14708736,0,1084416,0,0,0,17408,0,0,0,0,0,0,0,0,0,7386112,49152,112844,0,31462400,13641728,0,0,8426496,0,0,0,0,0,0,0,9216,2110464,0,51200,0
3,5,0,0,0,0,0,5262336,0,0,0,0,0,23074816,0,0,0,112844,21504,0,0,0,0,0,3200000,17408,20480,43000832,0,0,17830912,50341888,0,0,0,0,0,0,3188736
3,6,0,0,0,0,0,41951232,0,71315456,0,0,0,0,52438016,0,0,0,0,0,65037312,2131968,0,0,38803456,0,12288,0,0,0,0,17408,49291264,0,0,4210688,9448448,0,0
3,7,0,0,0,105924608,12597248,0,0,0,32510976,31462400,0,17830912,0,0,0,65037312,0,0,0,0,0,0,0,0,0,0,0,0,15360,0,0,104876032,0,0,8192,15749120,0
3,8,0,0,0,1087488,0,7168,0,72704,160533504,1062912,0,0,0,0,0,2205903,10240,0,0,0,0,0,0,0,0,0,24576,0,0,0,0,58368,17408,0,0,26219520,11264
3,9,83932160,12288,0,85206,84281,0,14336,4204544,0,2111488,1055744,0,83170,0,0,0,2149376,0,39871488,62925824,0,0,1058816,0,0,49152,8192,14336,0,2113536,0,19456,3155968,0,0,0,88095744
3,10,28341248,51437568,0,0,0,39852032,63986688,169896960,0,0,0,0,46145536,69219328,76565504,0,0,0,0,53485568,0,0,0,0,0,0,0,7364608,37753856,51403776,0,63973376,0,0,0,0,0
3,11,0,0,13312,0,0,62925824,20976640,0,0,90192896,81125,8688862,0,12592128,39871488,0,2113536,1092608,76565504,0,0,0,0,0,0,0,0,0,0,2150642924,24139776,3160064,0,11542528,0,0,0
4,0,49312768,48308224,15796224,86138060,0,11264,0,0,6317056,13312,0,0,24576,0,174188736,0,47194112,0,174188736,32768,0,0,0,61878272,4210688,88285,0,10240,0,0,0,0,0,0,0,0,0
4,1,3162112,18905088,29696,0,1071104,2191588,0,24248520,169152,0,0,0,0,21504,13941954,10552320,0,0,13941954,13668352,0,51417088,9495552,29696,79783113,0,0,0,1072128,0,40960,45095936,0,0,0,0,0
4,2,0,0,0,0,0,0,0,72367104,0,0,52224,0,26221568,58730496,0,0,17852416,0,0,30422016,22059008,0,36706304,0,2148583644,0,0,2145280,10240,46145536,49152,0,0,0,0,0,22528
4,3,0,0,0,93333504,46145536,8192,0,0,0,0,4208640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10501120,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,88094720,0,0,0,3153920,3163136,0,0,0,49294336,28324864,6345728,12288,0,0,0,7353344,12928209,49152,0,0,59392,82114,20092114,14712832,0,0,16384,13733064,127950848,59779072
